#options: 1920x1080 fps=50/1 timebase=1/50 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=cbr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=4000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:34 out:33 type:P dur:2 cpbdur:2 q:39.42 aq:36.59 tex:27607 mv:10449 misc:5296 imb:135 pmb:1966 smb:6059 d:- ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:39.63 aq:38.22 tex:652 mv:1186 misc:1202 imb:2 pmb:159 smb:7999 d:- ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:39.22 aq:36.36 tex:26998 mv:10838 misc:5324 imb:137 pmb:1965 smb:6058 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:39.41 aq:36.04 tex:365 mv:1263 misc:1180 imb:5 pmb:148 smb:8007 d:- ref:0 ;
in:38 out:37 type:P dur:2 cpbdur:2 q:38.99 aq:35.96 tex:27835 mv:10890 misc:5251 imb:131 pmb:1999 smb:6030 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:39.22 aq:36.66 tex:535 mv:1815 misc:1378 imb:2 pmb:208 smb:7950 d:- ref:0 ;
in:40 out:39 type:P dur:2 cpbdur:2 q:38.79 aq:35.75 tex:28560 mv:10545 misc:5271 imb:119 pmb:2023 smb:6018 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:38.99 aq:37.37 tex:444 mv:1507 misc:1233 imb:3 pmb:178 smb:7979 d:- ref:0 ;
in:42 out:41 type:P dur:2 cpbdur:2 q:38.60 aq:35.72 tex:28023 mv:10358 misc:5123 imb:115 pmb:1980 smb:6065 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:38.79 aq:37.07 tex:245 mv:1031 misc:1132 imb:3 pmb:139 smb:8018 d:- ref:0 ;
in:44 out:43 type:P dur:2 cpbdur:2 q:38.42 aq:35.35 tex:30839 mv:10919 misc:5490 imb:142 pmb:2107 smb:5911 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:38.60 aq:37.02 tex:432 mv:1269 misc:1179 imb:1 pmb:165 smb:7994 d:- ref:0 ;
in:46 out:45 type:P dur:2 cpbdur:2 q:38.25 aq:35.31 tex:29967 mv:10524 misc:5285 imb:92 pmb:2115 smb:5953 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:38.42 aq:35.75 tex:722 mv:1658 misc:1812 imb:24 pmb:271 smb:7865 d:- ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:38.09 aq:34.91 tex:31703 mv:11602 misc:5791 imb:156 pmb:2231 smb:5773 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:38.25 aq:36.61 tex:616 mv:1769 misc:1791 imb:13 pmb:272 smb:7875 d:- ref:0 ;
in:50 out:49 type:P dur:2 cpbdur:2 q:37.94 aq:34.88 tex:32209 mv:10860 misc:5499 imb:107 pmb:2178 smb:5875 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:38.09 aq:37.29 tex:622 mv:1926 misc:1860 imb:10 pmb:336 smb:7814 d:- ref:0 ;
in:52 out:51 type:P dur:2 cpbdur:2 q:37.80 aq:34.78 tex:29849 mv:10332 misc:5387 imb:115 pmb:2065 smb:5980 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:37.94 aq:35.70 tex:597 mv:2445 misc:1918 imb:4 pmb:317 smb:7839 d:- ref:0 ;
in:54 out:53 type:P dur:2 cpbdur:2 q:37.68 aq:34.73 tex:33268 mv:11048 misc:5308 imb:110 pmb:2192 smb:5858 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:37.80 aq:36.99 tex:537 mv:2432 misc:1895 imb:6 pmb:323 smb:7831 d:- ref:0 ;
in:56 out:55 type:P dur:2 cpbdur:2 q:37.57 aq:34.60 tex:33850 mv:11166 misc:5352 imb:116 pmb:2164 smb:5880 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:37.68 aq:37.22 tex:764 mv:2040 misc:1540 imb:5 pmb:250 smb:7905 d:- ref:0 ;
in:58 out:57 type:P dur:2 cpbdur:2 q:37.44 aq:34.59 tex:33986 mv:11306 misc:5372 imb:103 pmb:2237 smb:5820 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:37.57 aq:35.79 tex:644 mv:2396 misc:1712 imb:4 pmb:293 smb:7863 d:- ref:0 ;
in:60 out:59 type:P dur:2 cpbdur:2 q:37.34 aq:34.09 tex:35047 mv:11936 misc:5769 imb:180 pmb:2311 smb:5669 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:37.44 aq:35.85 tex:655 mv:2212 misc:1597 imb:10 pmb:260 smb:7890 d:- ref:0 ;
in:62 out:61 type:P dur:2 cpbdur:2 q:37.25 aq:34.40 tex:36891 mv:11344 misc:5277 imb:100 pmb:2265 smb:5795 d:- ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:37.34 aq:35.42 tex:774 mv:2456 misc:1922 imb:13 pmb:321 smb:7826 d:- ref:0 ;
in:64 out:63 type:P dur:2 cpbdur:2 q:37.16 aq:34.07 tex:33200 mv:11872 misc:5808 imb:212 pmb:2282 smb:5666 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:37.25 aq:36.05 tex:840 mv:2153 misc:1639 imb:11 pmb:260 smb:7889 d:- ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:37.16 aq:34.31 tex:30768 mv:10423 misc:5225 imb:87 pmb:2057 smb:6016 d:- ref:0 w:0,1,-1 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:37.16 aq:34.52 tex:706 mv:1470 misc:1320 imb:14 pmb:179 smb:7967 d:- ref:0 ;
in:68 out:67 type:P dur:2 cpbdur:2 q:37.17 aq:33.91 tex:31475 mv:11643 misc:5346 imb:111 pmb:2258 smb:5791 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:37.17 aq:36.53 tex:703 mv:2594 misc:1887 imb:14 pmb:304 smb:7842 d:- ref:0 ;
in:70 out:69 type:P dur:2 cpbdur:2 q:37.17 aq:33.99 tex:28454 mv:10850 misc:5296 imb:112 pmb:2045 smb:6003 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:37.17 aq:35.53 tex:569 mv:2475 misc:1692 imb:8 pmb:295 smb:7857 d:- ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:37.08 aq:33.96 tex:31966 mv:10916 misc:5334 imb:109 pmb:2163 smb:5888 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:37.17 aq:35.03 tex:187 mv:2117 misc:1568 imb:4 pmb:267 smb:7889 d:- ref:0 ;
in:74 out:73 type:P dur:2 cpbdur:2 q:37.08 aq:34.22 tex:29012 mv:10163 misc:5065 imb:76 pmb:2037 smb:6047 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:37.08 aq:34.66 tex:415 mv:1961 misc:1520 imb:14 pmb:231 smb:7915 d:- ref:0 ;
in:76 out:75 type:P dur:2 cpbdur:2 q:37.07 aq:33.93 tex:27502 mv:10644 misc:5318 imb:87 pmb:2049 smb:6024 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:37.08 aq:34.38 tex:355 mv:3161 misc:2220 imb:8 pmb:384 smb:7768 d:- ref:0 ;
in:78 out:77 type:P dur:2 cpbdur:2 q:37.08 aq:33.69 tex:26973 mv:10520 misc:5323 imb:72 pmb:2054 smb:6034 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:37.08 aq:36.13 tex:410 mv:2077 misc:1721 imb:8 pmb:276 smb:7876 d:- ref:0 ;
in:80 out:79 type:P dur:2 cpbdur:2 q:37.07 aq:33.87 tex:28557 mv:11424 misc:5291 imb:98 pmb:2140 smb:5922 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:37.08 aq:34.69 tex:475 mv:2912 misc:2173 imb:11 pmb:381 smb:7768 d:- ref:0 ;
in:82 out:81 type:P dur:2 cpbdur:2 q:37.07 aq:33.91 tex:30871 mv:10902 misc:5227 imb:86 pmb:2148 smb:5926 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:37.07 aq:34.53 tex:455 mv:1713 misc:1384 imb:9 pmb:201 smb:7950 d:- ref:0 ;
in:84 out:83 type:P dur:2 cpbdur:2 q:37.07 aq:34.20 tex:28056 mv:11180 misc:5156 imb:66 pmb:2131 smb:5963 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:37.07 aq:34.32 tex:326 mv:2224 misc:1770 imb:6 pmb:294 smb:7860 d:- ref:0 ;
in:86 out:85 type:P dur:2 cpbdur:2 q:37.08 aq:33.98 tex:27964 mv:10792 misc:5132 imb:82 pmb:2072 smb:6006 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:37.08 aq:36.34 tex:409 mv:1787 misc:1548 imb:7 pmb:260 smb:7893 d:- ref:0 ;
in:88 out:87 type:P dur:2 cpbdur:2 q:37.10 aq:33.92 tex:27972 mv:11376 misc:5228 imb:82 pmb:2074 smb:6004 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:37.10 aq:34.81 tex:371 mv:2329 misc:1876 imb:2 pmb:344 smb:7814 d:- ref:0 ;
in:90 out:89 type:P dur:2 cpbdur:2 q:37.11 aq:33.83 tex:27632 mv:10772 misc:5148 imb:71 pmb:2065 smb:6024 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:37.11 aq:35.97 tex:284 mv:1825 misc:1515 imb:1 pmb:241 smb:7918 d:- ref:0 ;
in:92 out:91 type:P dur:2 cpbdur:2 q:37.04 aq:33.86 tex:30339 mv:11655 misc:5318 imb:81 pmb:2268 smb:5811 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:37.11 aq:35.94 tex:411 mv:1570 misc:1347 imb:3 pmb:198 smb:7959 d:- ref:0 ;
in:94 out:93 type:P dur:2 cpbdur:2 q:37.06 aq:33.96 tex:30330 mv:11563 misc:5267 imb:91 pmb:2187 smb:5882 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:37.06 aq:36.47 tex:395 mv:2378 misc:1827 imb:1 pmb:324 smb:7835 d:- ref:0 ;
in:96 out:95 type:P dur:2 cpbdur:2 q:37.08 aq:33.84 tex:30798 mv:11707 misc:5255 imb:84 pmb:2247 smb:5829 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:37.08 aq:34.01 tex:238 mv:1590 misc:1348 imb:5 pmb:206 smb:7949 d:- ref:0 ;
in:98 out:97 type:P dur:2 cpbdur:2 q:37.11 aq:33.90 tex:29596 mv:11332 misc:5352 imb:95 pmb:2198 smb:5867 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:37.11 aq:36.01 tex:329 mv:1846 misc:1481 imb:3 pmb:245 smb:7912 d:- ref:0 ;
in:100 out:99 type:P dur:2 cpbdur:2 q:37.14 aq:33.85 tex:28217 mv:11730 misc:5309 imb:95 pmb:2180 smb:5885 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:37.14 aq:35.16 tex:396 mv:2483 misc:1913 imb:1 pmb:322 smb:7837 d:- ref:0 ;
in:102 out:101 type:P dur:2 cpbdur:2 q:37.09 aq:33.91 tex:29461 mv:11269 misc:5334 imb:90 pmb:2156 smb:5914 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:37.14 aq:37.13 tex:400 mv:2128 misc:1840 imb:2 pmb:321 smb:7837 d:- ref:0 ;
in:104 out:103 type:P dur:2 cpbdur:2 q:37.13 aq:33.88 tex:27490 mv:11738 misc:5356 imb:94 pmb:2148 smb:5918 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:37.13 aq:35.80 tex:469 mv:2638 misc:2245 imb:5 pmb:427 smb:7728 d:- ref:0 ;
in:106 out:105 type:P dur:2 cpbdur:2 q:37.07 aq:33.86 tex:28512 mv:11426 misc:5374 imb:110 pmb:2168 smb:5882 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:37.13 aq:35.89 tex:707 mv:2464 misc:1949 imb:7 pmb:322 smb:7831 d:- ref:0 ;
in:108 out:107 type:P dur:2 cpbdur:2 q:37.11 aq:34.05 tex:28547 mv:10220 misc:5225 imb:83 pmb:2050 smb:6027 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:37.11 aq:35.75 tex:620 mv:2158 misc:1686 imb:5 pmb:275 smb:7880 d:- ref:0 ;
in:110 out:109 type:P dur:2 cpbdur:2 q:37.06 aq:33.91 tex:31570 mv:11786 misc:5332 imb:80 pmb:2311 smb:5769 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:37.11 aq:36.16 tex:612 mv:2464 misc:1820 imb:7 pmb:295 smb:7858 d:- ref:0 ;
in:112 out:111 type:P dur:2 cpbdur:2 q:37.10 aq:33.83 tex:28410 mv:10743 misc:5303 imb:87 pmb:2082 smb:5991 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:37.10 aq:34.82 tex:360 mv:1939 misc:1573 imb:7 pmb:265 smb:7888 d:- ref:0 ;
